"","Sample.1.NI.Sample1","Sample.2.NI.Sample1","Sample.3.d3.pi.Sample1","Sample.4.d3.pi.Sample1","Sample.5.ECM.Sample1","Sample.6.ECM.Sample1","Sample 1
ECM
Sample2","Sample 2
ECM
Sample2","Sample 3
NI
Sample2","Sample 4
NI
Sample2","Sample 5
d3 pi
Sample2","Sample 6
d3 pi
Sample2"
"Q64727",0.193665136268349,-0.0219017121280354,-0.0125602307450197,-0.0167709222342576,-0.102961999743935,-0.0394702714171014,-0.291994449535021,0.0169106311675913,0.108117960051826,0.327509541997619,-0.359630900007162,0.199087216325147
"Q68FD5",-0.0681285219945318,-0.0380090885411493,-0.0507944787399923,-0.00786590270511578,0.260628220680604,-0.0958302286998149,-0.287552826404884,0.107670306560536,-0.0998290091580674,-0.0259710825073838,0.229515930654024,0.0761666808557746
"Q6IFX2",0.802264050528032,-0.081766727500411,-0.163757943043442,-0.381449563445323,-0.0565901318657378,-0.118699684673118,-0.301259507040819,0.35814570413579,0.0389973560716639,-0.110826543728521,-0.320192391575686,0.335135382137571
"Q6IFZ6",0.0206273620036419,-0.068280633024973,0.159080362037775,0.0351363450287163,0.0893602666042721,-0.235923702649434,0.116023412530918,-0.2424487633899,0.0597879380421062,0.0189724653869661,0.0804356541621356,-0.0327707067322254
"Q6P4P1, Q91WP6",-0.244508734681028,-0.343629793363126,-0.325394631686993,-0.251639114398579,0.514996781268925,0.6501754928608,0.751972900866603,0.265556593552615,-0.375184978366417,-0.393720364486537,-0.121577800632787,-0.127046350933476
"Q6PIC6, Q6PIE5, Q8VDN2",-0.26482705759271,-0.199754906742852,-0.0844293016696946,-0.276096581025668,0.471528951545358,0.353578895485565,-0.0258562440338785,0.638672817605166,-0.261286935712846,-0.148001975314899,-0.127368982304826,-0.0761586802387151
"Q6PIC6, Q6PIE5, Q8VDN2, Q9WV27",0.375071044816631,-0.00380962333675816,-0.285773525546643,-0.0701496746354073,-0.101618640091301,0.0862804187934771,-0.355558588254622,0.660205675648563,-0.309726540919589,0.125929529268304,-0.297188663987719,0.176338588245062
"Q6ZWY8",0.166736357900758,-0.338797664519568,-0.438533882089246,-0.549080082738007,0.600960724541679,0.558714546904383,NA,NA,NA,NA,NA,NA
"Q7M732",-0.455722037134695,0.293153711982914,0.161513201328747,0.287842890131266,-0.101621537830029,-0.185166228478202,NA,NA,NA,NA,NA,NA
"Q7TN31",-0.0869626843036877,-0.11240773387458,-0.0138092979229647,-0.159281221318732,0.620797494118392,-0.248336556698426,NA,NA,NA,NA,NA,NA
"Q80T19",-0.0423268040572098,-0.0765849795734259,-0.168951980804078,-0.163713126033209,0.170693618772119,0.280883271695803,0.378397270927417,0.28416941058496,-0.355380052528368,0.125419368040013,-0.013657958723519,-0.418948038300503
"Q80Y44",-0.110747231326144,-0.207995873141036,-0.353533071061724,-0.393858157324291,0.483522285114736,0.582612047738459,NA,NA,NA,NA,NA,NA
"Q80YC5",-0.0782901067520694,-0.0440052162211799,-0.113447102261748,0.0147660611012146,0.00375498711948596,0.217221377014298,-0.0136916648443726,0.687666990906382,-0.502595394690134,-0.0730825557297474,-0.0946522294592747,-0.00364514618285217
"Q8BG79",-0.066593600484866,0.424893674388886,0.383373731966654,0.211009211676754,-0.456918940169204,-0.495764077378222,NA,NA,NA,NA,NA,NA
"Q8BH35",0.0327818904324859,0.115787218639725,0.15219941949697,0.318952457714791,-0.357634553915893,-0.26208643236808,-0.293031624043508,-0.255885048158923,0.0941742005439234,0.203578438078535,-0.104066731815946,0.355230765395917
"Q8BH61",0.308135080732742,0.0456530231411008,-0.126741693977337,0.176611833282578,-0.307841698463799,-0.0958165447152837,-0.1699591517606,-0.464466959865304,0.323673426440021,0.496085232440803,0.0156291488927587,-0.20096169614768
"Q8BH64, Q9WVK4",-0.337924418978694,-0.244824967706257,-0.390032072389403,-0.315559440452111,0.625554874747937,0.662786024778528,-0.116014678865858,0.402463376489769,0.356907563908099,-0.104766278411318,-0.195697573091607,-0.342892410029085
"Q8BM81",0.117526695401506,0.169354751787205,-0.156887222169138,-0.224269254581135,0.600733096482439,-0.506458066920877,NA,NA,NA,NA,NA,NA
"Q8BND5",-0.066581836552984,-0.0931107659413462,-0.15188658174797,0.0437920849881643,0.132498993221928,0.135288106032206,-0.0540466533953703,-0.321930655912091,0.188096258906135,0.133843801234999,0.14436014138029,-0.0903228922139623
"Q8BSM7",-0.250739512241331,-0.313156657843939,-0.373914420160009,-0.646092962770957,0.745325674765901,0.838577878250336,-0.236191364875879,0.869621325092992,-0.529195318949047,-0.244451479532378,0.168270202703062,-0.0280533644387484
"Q8BTM8",0.156819343580437,0.0424788414584683,0.0600431663298329,-0.034133698933132,-0.160904195983205,-0.0643034564524001,-0.528080326183925,0.187907943472807,0.124650701945082,0.285924175032858,-0.518446848829984,0.448044354563162
"Q8BY89",-0.0682989350379279,-0.030982414088347,-0.0403552897896406,-0.0615776871586529,0.18666164048466,0.0145526855899072,-0.276720792676263,1.07776508541917,-0.392372582778303,-0.0603857961850136,0.0021238193848121,-0.350409733164398
"Q8C0S1",0.0841241195215345,0.472441887752268,0.621294882606136,0.554284107148213,-1.03685966019377,-0.695285336834381,NA,NA,NA,NA,NA,NA
"Q8C3P7",0.799626918630431,-0.0672702418317943,-0.146618719638143,-0.105336291486589,-0.3508406313587,-0.129561034315204,-0.315527397588275,-0.399733454749179,0.426933518181584,0.240714048734611,-0.457572279323364,0.505185564744623
"Q8C7G5",-0.131991636377811,-0.199408975382266,-0.452560461213365,-0.37959147487936,0.149699170036646,1.01385337781616,NA,NA,NA,NA,NA,NA
"Q8CFG8, Q8CG14",-0.313039078025609,-0.226858469580497,-0.249861534245817,-0.0176765056750257,0.279179631571928,0.528255955955019,-0.331883552779396,0.482014920214329,0.223869690370118,-0.121981206097388,-0.0638966940688799,-0.188123157638782
"Q8CFG9, Q8CG16",-0.161677974798375,-0.0266560358052095,-0.190418480336707,-0.0194483829378544,0.1596468555833,0.238554018294847,-0.0997640402568334,-0.260623189487486,0.3485489037555,-0.0630748374596801,0.206327866767881,-0.131414703319381
